Inverter stuck forward,Chip caught in Hyd orifice pressure reducer -Cleared and reset,inverter/ chip/ hydraulic/ hydraulic_orifice/ pressure,stuck_forward,clear/ reset,chip/ pressure,,H14,Y,8/20/15,,8/20/15,,Russ,JPM,John Murray,,hydraulic/ chip/ pressure/ inverter,,stuck,reset/ clear,forward,
Bar feed failures,,bar_feed/ bar,fail,no_action_taken,,,H22,N,8/20/15,,8/20/15,,RES,SA /,Steve Andreozzi,,,,failure,,bar/ feed,
Bar stop stays out after sensing new bar,Adusted sensor -Operator level,bar_stop/ operator,will_not_return/ error,adjust/ train,sensor/ operator,,H30,Y,8/20/15,,8/20/15,,RES,SA,Steve Andreozzi,,sensor/ operator,,,adjust,bar/ new/ level/ stop,
CNC running at 30 seconds,Replaced filters and rebooted CNC -Operator level,,,,,,H32,N,8/20/15,,8/20/15,,Clark,JPM,John Murray,,operator/ filter/ cnc,,,replace,level/ running/ 30,
Time cycle at 20 seconds -CNC slow,Replaced all hydraulic filters,cycle_time/ CNC,slow,replace,hydraulic/ filter,,H32,N,8/20/15,,8/20/15,,Clark,JPM,John Murray,,hydraulic/ filter/ cnc,,slow,replace,cycle/ time/ 20,
Spindle contactor overload,Cleared faults and reset machine,,,,,,H38,Y,8/20/15,,8/20/15,,J Con,JPM,John Murray,,spindle/ machine/ contactor,,fault/ overload,reset/ clear,,
Stripped screw in recess tool holder,Stripped screw removed -Operator level,,,,,,H6,Y,8/20/15,,8/20/15,,RES,SA,Steve Andreozzi,,screw/ operator/ tool/ holder,,strip,remove,level,
Lube faults,Stuck float switch again -Operator Level,,,,,,NM1,Y,8/20/15,,8/20/15,,J Con,MLW,Mike Lowell,,operator/ lubrication,lubrication,fault/ stuck,,switch/ level,
Ruptured air line -John Pyer in 8/21,Replaced broken air hose,,,,,,T105,,8/20/15,,8/20/15,,Mike L,MLW,Mike Lowell,,air/ hose/ line,,broken/ rupture,replace,,
Bar pusher hanging up,Material table on top of loader bent -Loading magazine hit by fork truck when loaded ???,bar_pusher/ material_table/ loading_magazine,hang_up/ broken,no_action_taken,,,H22,N,8/20/15,,8/21/15,,J Con,JPM,John Murray,,table/ loader/ pusher,,,,bar/ load,
Shipping cart has worn wheels,Wheels replaced,,,,,,Shipping,,8/20/15,,8/24/15,,Paul,LC,Lyle Cookson,,wheel,,worn,replace,,
Bar ends being found in production pan,,bar_end/ bar,in_production_pan,no_action_taken,,,H29,N,8/20/15,,,,Bruce,,,,,,,,bar,
Replace St#12 motor -3500 to 1700,Completed,,,complete,,,H25,N,8/21/15,,8/21/15,,Clark,JPM,John Murray,,station/ motor,,,replace/ complete,12,
Top XD unit breaking drills -worn bearings,Replaced top XD head -Unit removed rebuilt and stored,,,,,,H27,N,8/21/15,,8/21/15,,Clark,JPM,John Murray,,unit/ bearing/ head/ drill/ cross_drill,,worn,replace/ remove/ rebuild,,
Inverter not rotating,Removed pressure reducing orifice from hydraulic line at inverter,inverter,will_not_rotate,remove,hydraulic/ hydraulic_orifice/ pressure/ inverter/ hose,,H3,Y,8/21/15,,8/21/15,,Clark,JPM,John Murray,,hydraulic/ pressure/ line/ inverter,,,remove,,
Broken inverter pin,Removed inverter and replaced broken screw and button stop,inverter/ pin/ screw,broken,remove/ replace,inverter/ screw/ button_stop,,H5,Y,8/21/15,,8/21/15,,Bruce,JPM,John Murray,,screw/ inverter/ pin,,broken,replace/ remove,stop,
Side A spindle Not responding,Actual issue is Transport failure -Tony reset,,,,,,I2,Y,8/21/15,,8/21/15,,Bruce,Tony,Tony Lobo,,spindle/ person,,issue/ failure,reset,transport,
Jaw package cylinder nuts missing,Replaced -Operator could have done this!,,,,,,TK4,Y,8/21/15,,8/21/15,,RES,SA,Steve Andreozzi,,operator/ cylinder/ nut,,missing,replace,,
Broken wire on AIM,Replaced potetiometer,aim_wire/ wire/ aim,broken,,,,I1,Y,8/21/15,,8/22/15,,Bruce,DK,Denis Kusiak,,wire,,broken,replace,,
Bar change overtime faults,Replaced hardened flat O-Ring in leaking table indexing valve,bar_change/ bar/ table,o/t_fault/ fault/ leak,replace,o_ring,,H24,N,8/21/15,,8/25/15,,Russ,JPM,John Murray,,valve/ table/ index/ ring,,leak/ fault,replace,bar/ change/ overtime,
Side B turret hydraulic leak,,hydraulic/ turret/ side_b,leak,no_action_taken,,,I4,Y,8/21/15,,,,J Con,SA / DK,Steve Andreozzi/ Denis Kusiak,,hydraulic/ turret,,leak,,,
Brush unit jamming forward,Say admits to repeatedly winding the unit forward each time jam has occurred / Russ provided with ne Proximity sensor which he installed and set. -Thank you Russ!,brush_unit,jam,install,proximity_sensor,,H14,N,8/24/15,,8/24/15,,Russ,Russ,Russ,,unit/ sensor/ prox/ brush/ tank/ person,,jam,install/ set,forward/ time,
Table will not index,Replaced connections to Table UP/DOWN solenoid and reset prox's,table,will_not_index,replace/ reset,connection/ table_solenoid/ proximity_sensor,,H17,Y,8/24/15,,8/24/15,,JPG,JPM,John Murray,,table/ prox/ index/ connector/ solenoid,,,replace/ reset,,
Feed track INOP,Replaced broken springs and shorted magnet,,,,,,H19,Y,8/24/15,,8/24/15,,RES,SA,Steve Andreozzi,,,,broken/ inoperable,replace,feed/ track,
Loader bowl INOP,Blown fuse.,,,,,,H20,Y,8/24/15,,8/24/15,,RES,SA,Steve Andreozzi,,loader/ fuse/ bowl,,inoperable/ blown,,,
Vogel lube faults,Replaced control board in Vogel system,vogel_lube,fault,,,,H23,N,8/24/15,,8/24/15,,JPG,SA,Steve Andreozzi,,vogel/ lubrication,lubrication,fault,replace,control,
Vogel system alarms,Control board in Vogel system replaced,,,,,,H23,N,8/24/15,,8/24/15,,JPG,SA,Steve Andreozzi,,vogel,,alarm,replace,control,
Major coolant leak,Parts and swarf removed from under parts catcher area to clear drain port -Operatot Level,,,,,,I18,Y,8/24/15,,8/24/15,,JPG,JC,Jon Cousineau,,coolant/ operator/ part/ catcher,,leak,remove/ clear,level/ major,
C axis swivel alarms -won't clear,NUMATICS valves replaced,,,,,,I4,Y,8/24/15,,8/24/15,,J Con,Norm,Norm Neveux,,valve/ axis,,alarm,replace/ clear,won,
Spindles will not turn on / No hydraulics,Hydraulic motor overload was turned off / Bad coolant pump motor,spindle/ hydraulic/ coolant/ pump/ motor,no_power/ broken,turned_on,hydraulic_motor_overload,,H10,Y,8/24/15,,,,J Con,SA,Steve Andreozzi,,motor/ spindle/ hydraulic/ coolant/ pump,,broken/ overload,,turned/ turn,
Coolant pump failure,Replaced coolant pump,,,,,,H10,Y,8/25/15,,8/25/15,,RES,SA,Steve Andreozzi,,coolant/ pump,,failure,replace,,
Parts inline feed not working,Replaced coiltwice and adjusted operating current to .3A from .7A,,,,,,H17,Y,8/25/15,,8/25/15,,RES,SA,Steve Andreozzi,,part/ coil,,,replace/ adjust,feed/ working,
Hydraulic leak in spindle at St#5 -not runable,replaced metering valve,hydraulic/ spindle/ st_5,leak,replace,metering_valve/ valve ,,H21,Y,8/25/15,,8/25/15,,Gio,JPM,John Murray,,station/ spindle/ valve/ hydraulic,,leak,replace,,
Table indexing issues,Replaced cable for table down sensor,table_index,fault,replace,cable/ table_down_sensor,,H27,Y,8/25/15,,8/25/15,,RES,SA,Steve Andreozzi,,table/ sensor/ cable/ index,,issue,replace,,
Offload not placing part on track,Replaced optical cable for part load sensor,,,,,,I17,Y,8/25/15,,8/25/15,,RES,SA,Steve Andreozzi,,sensor/ cable/ offload,,,replace,track/ load,
Adjusting screw for tool#2 jammed,Swapped tool head with unit returned from SwisSet Tool.,,,,,,ES1,Y,8/25/15,,9/8/15,,JPG,JC,Jon Cousineau,,unit/ screw/ head/ tool,,jam,adjust/ swap/ return,,
Bar change overtime faults,Table indexing speed adjusted,bar_change/ bar,o/t_fault/ fault,adjust,table_index_speed,,H24,N,8/26/15,,8/27/15,,Russ,JPM,John Murray,,table/ index/ speed,,fault,adjust,bar/ change/ overtime,
Base cleaning,Completed,base,clean,complete,base,,T91,y,8/26/15,,8/27/15,,Bruce,LC,Lyle Cookson,,base,,,complete/ clean,,
Brush unit INOP,Motor contactor replaced,brush_unit/ brush/ unit,inoperable,replace,motor_contactor,,H19,Y,8/27/15,,8/27/15,,Bruce,JPM,John Murray,,unit/ motor/ brush/ contactor,,inoperable,replace,,
Bar feed chain broken,Repaired,bar_feed/ chain,broken,repair,bar_feed/ chain,,H32,Y,8/27/15,,8/27/15,,Alex,Alex,Alex Breault,,chain,,broken,repair,bar/ feed,
Chip conveyor INOP,Cleared large chip ball that was pressed down into base by operator,chip_conveyor/ conveyor,inoperable,clear,chip,,H38,Y,8/27/15,,8/27/15,,Bruce,JPM,John Murray,,conveyor/ chip/ base/ operator/ ball,,inoperable,clear,,
Table index overtime faults,Adjusted table UP/DOWN valve,table_index,overtime_fault,adjust,table_up_down_valve,,H5,Y,8/27/15,,8/27/15,,Bruce,JPM,John Murray,,valve/ table/ index,,fault,adjust,overtime,
Major hydraulic leak at Iemca,Hose replaced,hydraulic/ lemca,leak,replace,hose,,I18,Y,8/27/15,,8/27/15,,Norm,JC,Jon Cousineau,,hydraulic/ iemca/ hose,,leak,replace,major,
Finished part conveyor jammed,Repaired conveyor,finished_part_conveyor/ conveyor,jam,repair,conveyor,,I2,Y,8/27/15,,8/27/15,,Bruce,JC,Jon Cousineau,,conveyor,,jam,repair,,
Base cleaning,completed,base,clean,complete,base,,T100,Y,8/27/15,,8/27/15,,Bruce,LC,Lyle Cookson,,base,,,complete/ clean,,
Power connect plug shorted,Replaced plub,,,,,,T100,Y,8/27/15,,8/27/15,,Mike L,JC,Jon Cousineau,,,,,replace,power/ plug,
Repair paper filter system,Base cleaned / Paper filter system installed for manual use / Motor cooling system leaks founs -replaced leaking hoses.,,,,,,Tsch 2,N,8/27/15,,10/4/15,,JPG,DK/LC/MLW,Denis Kusiak/ Mike Lowell/ Lyle Cookson,,motor/ base/ hose/ filter,,leak,replace/ repair/ install/ clean,cooling/ used,
Replace screen for media sifting,Completed,,,complete,,,Dreher,N,8/28/15,,8/28/15,,Mike C,CD,Colin Doherty,,screen,,,replace/ complete,,
Transport side A not homing,Repairs to chain drive and prox adjustment,,,,,,I1,Y,8/28/15,,8/28/15,,Bruce,JC,Jon Cousineau,,chain/ prox,,,repair/ adjust,drive/ transport,
Hydraulic leak side B,Hydraulic return line replaced,hydraulic/ side_b,leak,replace,hyrdaulic/ line/ return_line/ ,,I2,Y,8/28/15,,8/28/15,,J Con,JC,Jon Cousineau,,hydraulic/ line,,leak,replace,returning,
Contactor KO.1 not engaging -Coolant will overflow,Knoll controler replaced / KO.1 contactor replaced,,,,,,I20,N,8/29/15,,8/29/15,,Norm,JC,Jon Cousineau,,coolant/ contactor/ controller,,,replace,,
Problem keeping machine in gear,Adjusted clutch,,,adjust,clutch_disc,,T99,N,8/29/15,,8/29/15,,Mike L,DK,Denis Kusiak,,machine/ clutch/ gear,,,adjust,,
Iemca will not load in Auto,Replaced facing travel flag sensor cable,lemca,will_not_load_in_auto,,,,I19,N,8/30/15,,9/17/15,,JPG,JC / DP,Jon Cousineau/ Doug Patrick,,sensor/ cable/ iemca/ flag,,,replace,load/ auto/ travel/ facing,
Spinner INOP,Replaced blown 25amp fuse,,,,,,Barret,Y,8/31/15,,8/31/15,,JPG,SA,Steve Andreozzi,,fuse,,inoperable/ blown,replace,,
Brush unit stuck forward,Did not observe brushing unit jamming. Adjusted reversing timer,brush_unit/ brush/ unit,stuck_forward,no_problem_detected/ adjust,reversing_timer,,H14,N,8/31/15,,8/31/15,,RES,SA,Steve Andreozzi,,unit/ brush,,stuck,adjust,forward,
Exit conveyor jammed,Repaired broken sections of belt,exit_conveyor/ conveyor,jam,repair,belt,,I2,Y,8/31/15,,8/31/15,,JPG,SA,Steve Andreozzi,,conveyor/ belt,,broken/ jam,repair,,
Parts seperator blade broken off and jammed in chute,Pipe section opened to remove jammed blade / Steve replaced blade,,,,,,Prab,Y,8/31/15,,9/1/15,,RES,CD/SA,Steve Andreozzi/ Colin Doherty,,part/ steve/ chute,,broken/ jam,replace/ remove,,
Check/ charge/ accumulators,Found to be 10bar -Charged to 30bar. / Check again on 9/2 for leak,accumulator/ pressure/ low_pressure,check/ charge/ low,charge,accumulator/ low_pressure,,H1,N,9/1/15,,9/1/15,,JPG,SA,Steve Andreozzi,,accumulator,30bar,leak,check/ charge,,
Machine will not index,Spindle #? Bleeder valve left OPEN -Operator level,machine,will_not_index,,,,H10,Y,9/1/15,,9/1/15,,Gio,SA,Steve Andreozzi,,spindle/ valve/ machine/ operator/ index,,,,level/ open/ left,
Side rail required on H37 conveyor side RHE,Completed,side_rail/ conveyor/ h37/ rhe,missing,install,side_rail,,H37,N,9/1/15,,9/1/15,,JPG,CD,Colin Doherty,,conveyor,,,complete/ require,,
Transport 2 collision alarms,Replaced springs on transport plate / Replaced tabs for springs also.,,,,,,I1,y,9/1/15,,9/1/15,,RES,SA,Steve Andreozzi,,plate,,alarm,replace,transport,
IR Scan issue -overheating connection,Tightened connection,,,,,,T99,N,9/1/15,,9/1/15,,JPG,SA,Steve Andreozzi,,connector,,issue,tighten,,
Clean base,Completed - Very little Sludge/Swarf,base,clean,,,,H34,N,9/1/15,,9/2/15,,Clark,LC,Lyle Cookson,,base,,,complete/ clean,,
Spindle bearings ned to be replaced -Excessive play,All bearings replaced -lube tank and filtering cleaned,,,,,,A67,Y,9/1/15,,9/23/15,,Jose,MLW,Mike Lowell,,spindle/ bearing/ tank/ lubrication,lubrication,,replace/ clean,play/ excessive,
Coolant pump splashing on floor,Needs a new impeller -On order,,,,,,H1,N,9/1/15,,,,JPG,SA,Steve Andreozzi,,coolant/ pump/ floor,,,need/ order,new,
Feeding faults 6-7 times per bar,Adjusted fedding pressure valve,feed,fault,adjust,feeding_pressure/ valve,,H14,N,9/2/15,,9/2/15,,Russ,JPM,John Murray,,valve/ pressure,,fault,adjust,bar/ feeding,
Check Accumulator -gage dropping 20bar,Replaced accumulator -Unit removed for repair -SA completed,accumulator/ gage,check/ low,replace/ repair,accumulator,,H27,Y,9/2/15,,9/2/15,,Bruce,JPM,John Murray,,unit/ accumulator,,drop,replace/ repair/ remove/ check/ complete,20bar,
St#6 drill detector INOP,Replaced sensor,,,replace,sensor,,H27,Y,9/2/15,,9/2/15,,Bruce,JPM,John Murray,,station/ sensor/ drill/ detector,,inoperable,replace,,
IR Scan issue -overheating circuit breaker,Replaced CB -Closed issue,,,,,,H32,N,9/2/15,,9/2/15,,JPG,SA,Steve Andreozzi,,breaker,,issue,replace,closed,
ransport loose -Won't home,Replaced rollers on transport chain,,,,,,I1,Y,9/2/15,,9/2/15,,J Con,JC,Jon Cousineau,,chain,,loose,replace,transport/ won/ home,
Broken air line in access panel,Replaced plastic fitting with brass -Online,airline,broken,replace,plastic_fitting/ brass_fitting/ fitting,,I19,Y,9/2/15,,9/2/15,,Norm,Norm,Norm Neveux,,air/ line/ fitting/ panel,,broken,replace,online,
Side A hydraulic leak,Hydraulic return line replaced,hydraulic/ side_a,leak,replace,line,,I4,Y,9/2/15,,9/2/15,,JPG,MLW,Mike Lowell,,hydraulic/ line,,leak,replace,returning,
Coolant leak at the front of the machine,Missing screws on internal guard allowing coolant to flow into electrical area and onto floor. Replaced screws.,,,,,,TK4,N,9/2/15,,9/2/15,,JPG,SA,Steve Andreozzi,,coolant/ machine/ screw/ flow/ electrical/ guard/ floor,,leak/ missing,replace,,
Hydraulic leak reported,Replaced fitting on Vogel tank / Replaced St#4 hose,hydraulic,leak,,,,H4,N,9/2/15,,9/4/15,,JPG,JPM,John Murray,,station/ hydraulic/ hose/ vogel/ fitting/ tank,,leak,replace/ report,,
No power to 24v power module,Power module replaced / severed sensor cable replaced / Module involving hydraulic input and output replaced. John Pyers used for SC7 PLC review.,power_module/ 24v/ sensor/ cable,no_power/ broken,replace/ need_guy,power_module/ sensor/ cable/ hydraulic,,SC5,Y,9/2/15,,9/4/15,,J Con,JC/DK/SA,Denis Kusiak/ Jon Cousineau/ Steve Andreozzi,,hydraulic/ sensor/ cable/ module/ plc,,,replace,power/ used,
Chip conveyor INOP,Reversing selector switch broken -Borrowed selector switch from H16 w/ new ordered,chip_conveyor/ conveyor/ reversing_selector_switch,inoperable/ broken,swap,switch/ h16,,H23,Y,9/3/15,,9/3/15,,RES,SA,Steve Andreozzi,,conveyor/ chip/ selector,,broken/ inoperable,order,switch/ new,
Bar fedder will not reverse,Jogged between forward and reverse -it reversed! Operator level,bar_feeder/ operator,will_not_reverse/ error,jog/ train,bar_feeder/ operator,,H24,Y,9/3/15,,9/3/15,,RES,SA,Steve Andreozzi,,operator/ feeder,,,,bar/ level/ forward,
Broken feed chain,Replaced section of chain,,,,,,H4,Y,9/3/15,,9/3/15,,Russ,JPM,John Murray,,chain,,broken,replace,feed,
Spindle #6 turned OFF -Bar alarms,Broken pusher belt on Iemca replaced,spindle_6/ bar/ pusher_belt/ belt,off/ alarm/ broken,replace,pusher_belt/ belt,,I18,N,9/3/15,,9/3/15,,Bruce,JC,Jon Cousineau,,spindle/ iemca/ belt/ pusher,,broken/ alarm,replace,bar/ turned,
Airline connectin to I2 has a bubble ready to burst,Replaced airline,,,replace,airline,,I2,Y,9/3/15,,9/3/15,,JW,Mike D,Mike D,,connection,air_line,,replace,ready,
Gripper jaw OPEN signal,Spliced severed cable at transport,,,,,,I4,Y,9/3/15,,9/3/15,,RES,SA,Steve Andreozzi,,cable/ gripper,,,,transport/ open,
Check Accumulator -gage dropping 20bar,LP chearged from 10bar to 30bar / HP charged from 45bar to 50bar,accumulator/ gage/ low_pressure/ high_pressure,check/ low,charge,accumulator/ high_pressure/ low_pressure,,H24,N,9/4/15,,9/4/15,,Russ,CD,Colin Doherty,,accumulator/ low_pressure,30bar,drop,check/ charge,hp/ 50bar/ 20bar,
Iemca track #1 broken,Replaced track,,,,,,I18,N,9/4/15,,9/4/15,,JPG,JC,Jon Cousineau,,iemca,,broken,replace,track,
Gripper not finished -alarm,Replaced gripper proximity sensor and severed cables -NOT SPLICED,,,,,,I4,Y,9/4/15,,9/4/15,,Clark,JC,Jon Cousineau,,sensor/ cable/ prox/ gripper,,alarm,replace,,
Cont parts eject alarm,Replaced sensor on ejection cylinder,,,,,,SC5,Y,9/4/15,,9/4/15,,RES,SA,Steve Andreozzi,,sensor/ part/ cylinder,,alarm,replace,,
Base full,Base cleaned,,,,,,T100,Y,9/4/15,,9/4/15,,Mike L,LC,Lyle Cookson,,base,,,clean,,
Clean base,Completed - Base returned W/O filtering system. To be repaired offline.,base,clean,,,,Tsch 1,Y,9/4/15,,9/4/15,,Clark,LC,Lyle Cookson,,base,,,repair/ complete/ clean/ return,,
Conveyor reversing switch removed for use on H23,Switch arrived from Knoll -Installed by Steve a,conveyor/ reversing_switch,remove,install,switch,,H16,Y,9/4/15,,9/14/15,,RES,SA,Steve Andreozzi,,conveyor/ steve,,,remove/ install,switch/ used,
Check/ charge/ accumulators,Ruptured bladder found in accumulator -unit replaced with shelf accumulator,accumulator/ bladder,check/ charge/ rupture,replace,accumulator,,H14,N,9/8/15,,9/8/15,,JPG,CD,Colin Doherty,,unit/ accumulator/ shelf/ bladder,,rupture,replace/ check/ charge,,
Brushing unit staying forward,Replaced sensor cable for unit no back sensor,brush_unit,stuck_forward,replace,sensor_cable,,H14,Y,9/8/15,,9/8/15,,RES,SA,Steve Andreozzi,,unit/ sensor/ cable/ brush,,,replace,forward,
Bar loader chain broken,Repaired with added link,bar_loader/ chain/ bar,broken,repair/ added,chain/ link,,H26,Y,9/8/15,,9/8/15,,Alex,Freddy P,Freddy P,,loader/ chain,,broken,repair/ add,bar,
Bar loader INOP / Over travel alarm,Replaced power module,bar_loader/ bar,over_travel/ alarm/ inoperable,replace,power_module,,H29,Y,9/8/15,,9/8/15,,J Con,MLW,Mike Lowell,,loader/ module,,inoperable/ alarm,replace,bar/ power/ travel,
Low coolant flow / chunky coolant,Drained and replaced coolant -Filter bag replaced,,,,,,I1,N,9/8/15,,9/8/15,,J Con,CD,Colin Doherty,,coolant/ filter/ flow,drain,,replace,low/ drain,
Off load conveyor glide strips broken and INOP,Replaced glide strips and replaced broken links in belt,offload_conveyor/ glide_strip,broken/ inoperable,replace,glide_strip/ link/ belt,,I6,Y,9/8/15,,9/8/15,,JPG,MLW,Mike Lowell,,conveyor/ belt,,broken/ inoperable,replace,load,
Fault bar stop alarm -prox cable INOP,Loose wire in electrical cabinet reconnected,bar_stop/ bar/ proximity_cable/ electrical_cabinet/ wire,loose/ alarm/ inoperable,reconnect,wire,,SC5,Y,9/8/15,,9/8/15,,Steve S,SS,Steve Salley,,cable/ prox/ wire/ electrical/ cabinet,,inoperable/ fault/ loose/ alarm,,bar/ stop,
C Axis alarms -regulating wheel connection,Cable connections cleaned and reconnected -Online (Per email from Ali),,,,,,Tsch 2,Y,9/8/15,,9/8/15,,Clark,DB / JC,Jon Cousineau,,cable/ axis/ connector/ wheel,,alarm,clean,online/ regulating,
Side B turret wrapped in chips,Turret removed by Colin but machine won't start / Completed by JC,,,,,,I2,N,9/8/15,,9/9/15,,J Con,CD / SA,Colin Doherty/ Steve Andreozzi,,machine/ chip/ turret,,,remove/ complete,start/ won,
Replace coolant pump impeller and housing,Coolant pump replaced -Pump removed rebuilt by Steve,,,,,,H1,N,9/8/15,,9/10/15,,JPG,SA,Steve Andreozzi,,coolant/ pump/ housing/ steve,,,replace/ remove/ rebuild,,
