Date,Mach type,Mach,Effect,Machine Area,Description,Resolution,I,NA,P,S,U,X
12/16/15,,SC6,,,Hydraulic Main Fault at every bar loading sequence,Accumulator found at 0bar; Charged to machine spec 25bar,"hydraulic, accumulator, machine",,fault,charge,"bar, load, main, 25bar",
12/16/15,,Sinico,,,Rotator rack cylinder bottom sealing plate broken off; Two bolts sheared,Sheared bolts removed / )-Ring and seal replaced and installed,"cylinder, plate, bolt, rotator, ring, rack",,broken,"replace, remove, install",seal,
12/16/15,,T103,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/16/15,,T92,,,Base cleaning Requested,Completed,base,,,"complete, request, clean",,
12/16/15,,T98,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/17/15,,Barret,,,Floor plate loose and shifting,Reset plate and installed 18 bolts to hold in place,"plate, bolt, floor",,loose,"install, reset",shift,
12/17/15,,Deco 1,,,.045 play in Z1 ,Loose bearing reatiner nut on Z1 ball screw bearing retightened; Z1 zero reset,"bearing, screw, ball, nut",,loose,"reset, tighten",play,
12/17/15,,H2,,,St#3 spindle bearings worn   ,Issued Gio a good 35/60 spindle from inventory,"station, spindle, bearing, inventory",,worn,,"35, 60",
12/17/15,,H32,,,Bar feed fault; Not loading properly,Part length adjusted,,,fault,adjust,"bar, feed, load",
12/17/15,,I19,,,Smashed mount on receiving unit; Parts catcher,Repaired,"unit, part, catcher",,,repair,mount,
12/17/15,,SC5,,,Alarm; Control flow rate / Air leak at HP system air regulator,Swapped regulator with SC11; No HP in use,"air, flow",,"leak, alarm",swap,"control, hp, used",
12/17/15,,T91,,,Clamping toggles worn,Replaced,clamp,,worn,replace,,
12/17/15,,TR8 Bridgeport,,,Power draw bar INOP,Cleaned; online,,,inoperable,clean,"bar, power, online",
12/18/15,,H24 ,,,End of bar limit switch (??????????????????????),Replaced slow feed roller switch and tensioned feeding chain,chain,tension,slow,"replace, tension","bar, switch, feed, end, limit, feeding",
12/18/15,,H25,,,Vogel tank leaking at drain fitting,Replaced leaking fitting,"vogel, fitting, tank",,leak,replace,,
12/18/15,,H30,,,Inverter INOP; Cam drive post broken,Removed inverter for bencg repair; Completed,inverter,,"broken, inoperable","repair, remove, complete",drive,
12/18/15,,H4,,,Braoken bar loader chain,Replaced link and tensioned to spec,"loader, chain",tension,broken,"replace, tension",bar,
12/18/15,,I17,,,Spindle #5 OFF; Extension tube bearings ?,Replaced bearings ,"spindle, bearing, tube",,,replace,,
12/18/15,,I18,,,Iemca flag sensor cable broken,Replaced cable,"sensor, cable, iemca, flag",,broken,replace,,
12/18/15,,T92,,,Machine will not run in Auto,Repaired wiring harness; Rubbing against drive belts,"machine, belt, wire",,,repair,"drive, running, auto",
12/21/15,,H28,,,Machine runs through bar change,Repaired and replaced pusher dogs and trucks,"machine, pusher, dog",,,"replace, repair","bar, change",
12/21/15,,H29,,,Threading unit INOP,Replaced pin and set sensor depth,"unit, sensor, pin, thread",,inoperable,"replace, set",,
12/21/15,,H30,,,Belt on threading unit stripped,Replaced for operator; Percio / Was later replaced again when bad pulley was found,"unit, operator, belt, pulley, thread",,"broken, strip",replace,,
12/21/15,,H30,,,ST#7 Brushing unit belt stripped; Was installed earlier in the day by JPM,Replaced belt and pulleys / new part washer,"station, unit, belt, brush, pulley, person",,strip,"replace, install",new,
12/21/15,,H34,,,Collet closing before bar is inserted,Replaced high speed counter; Found hanging from PLC,"collet, speed, counter, plc",,,replace,"bar, high, closing",
12/21/15,,H8,,,Broken clamp screw in St#11,Removed and replaced,"station, screw, clamp",,broken,"replace, remove",11,
12/21/15,,I17,,,Robot malfunction,Adjusted sensor for rotary activator,sensor,,,adjust,,
12/21/15,,NM2,,,Low lubricating oil level alarm,Freed stuck float switch--------4th or 5th time this has been done by Maint,oil,,"alarm, stuck",,"switch, level, low, time",
12/21/15,,RM223,,,Drive transmission failure; Rebuild required,Rebuilt,,,failure,"rebuild, require",drive,
12/21/15,,SC8,,,Excessive hydraulic consumption,Sam W found Pick Off flow control fitting leaking. Tensioned,"hydraulic, fitting, flow",tension,leak,tension,"control, pick, excessive",
12/21/15,,T102,,,Bar feeding issue,Non Maint; Assisted Operator in removing jammed feed tube,"operator, tube",,"issue, jam",,"bar, feed, feeding",
12/22/15,,H25,,,Broken Chain on bar feeder,Repaired,"chain, feeder",,broken,repair,bar,
12/22/15,,H29,,,Bar loader chain rubbing against chain cover,Straightened panel and adjusted chain tension,"loader, chain, cover, panel",,,adjust,bar,
12/22/15,,H5,,,St#3 valve; unable to slow spindle feed rate,Missing O-Ring from spindle rebuild earlier in the day,"station, spindle, valve, ring",,"missing, slow, unable",rebuild,feed,
12/22/15,,H8,,,St#14V GRM noisy,Swapped motor; Drive gear in reducer box destroyed,"station, motor, gear, box",,noise,swap,drive,
12/22/15,,I18,,,Bar loader issues (??),"Loading bracket not in phase, alarm sensor S5.3 was not actuated. Tricked sensor, operated elevator manually and alarm reset

","sensor, loader, bracket",,"alarm, issue",reset,"bar, load",
12/22/15,,I2,,,Side A over travel limit alarm,Moved axis and cleared by 0615,axis,,alarm,clear,"limit, travel, move",
12/22/15,,I4,,,Side B over travel limit alarm,Moved axis and cleared by 0610,axis,,alarm,clear,"limit, travel, move",
12/22/15,,I4,,,Side B over travel limit alarm,Moved X axis off limit switch,axis,,alarm,,"switch, limit, travel, move",
12/23/15,,T98,,,Base cleaning requested,Completed,base,,,"complete, request, clean",,
12/28/15,,H27,,,Hydraulic fluid low faults,Found overlapping switch faults; Table down prox adjusted / Cut Off unit extended prox adjusted,"unit, hydraulic, table, prox",,fault,adjust,"switch, low, cut",
12/29/15,,Reid SG,,,Hydraulic ON/OFF switch faulty,Replaced switch,hydraulic,,fault,replace,switch,
12/30/15,,Deco 3,,,Bar loader needs to be referenced,Referenced ,loader,,,need,bar,
12/30/15,,H4,,,Hydraulic leak at power pack pump motor,Modified pump housing to reduce external hydraulic leak,"motor, hydraulic, pump, housing",,leak,,"power, pack",
1/4/16,,A76,,,Collet closing roll moving / Spools opening,Collel closing roll is OK / Steve Salley assessed machine as having work clamping spools; Spools and toggles replaced,"machine, clamp, collet, steve",,,"replace, ok","closing, roll",
1/4/16,,H15,,,St#3 recessing spindle bearings worn,Unit bearings replaced,"station, unit, spindle, bearing",,worn,replace,,
1/4/16,,H5,,,Rotator INOP; No power,Replaced fuse in power module and electric coil on valve for rotator,"valve, fuse, module, coil, rotator",,inoperable,replace,power,
1/4/16,,I18,,,Requested check of spindle actuator due to ID ream O/S condition,Replaced spindle nose retainer instead; O/S condition in tolerance,"spindle, actuator",,,"replace, check, request",,
1/4/16,,T92,,,Spindle bearings,Bearings replaced; Took too long to complete,"spindle, bearing",,,"replace, complete",,
1/5/16,,H22,,,Accumulator check requested,Both accumulators OK at 30bar / Repaired broken wiring on electric coil,"accumulator, wire, coil",30bar,broken,"repair, check, request, ok",,
1/5/16,,I2,,,Conveyor will not go in reverse,Cycled power; OK,conveyor,,,ok,"power, cycle",
1/6/16,,H33,,,Chip conveyor clutch slipping,Replaced clutch discs,"conveyor, chip, clutch, disc",,slip,replace,,
1/6/16,,H4,,,Collet will not close when loading; Saw will not fire,Rebuilt loading valve,"valve, saw, collet",,,rebuild,"load, close",
1/6/16,,I1,,,End of offload conveyor transition plate worn,Made a new one and installed,"conveyor, offload, plate",,worn,install,"new, end",
1/6/16,,I18,,,Iemca; Center material transition belts worn,Replaced two center belts,"iemca, belt",,worn,replace,,
1/6/16,,I19,,,Cooling fan on electrical cabinet has broken housing; falling off,Replaced fan with new unit,"unit, housing, electrical, fan, cabinet",fall,broken,replace,"new, fall, cooling",
1/6/16,,I5,,,Iemca track #5 broken,Replaced,iemca,,broken,replace,track,
1/6/16,,RM221,,,Regulating wheel bearings NOK,Belt replaced / Regulating wheel spindle replaced with rebuilt unit; Worn ubit sent to Royal Master for refurbishing,"unit, spindle, bearing, belt, wheel",,"broken, worn","replace, rebuild",regulating,
1/6/16,,T103,,,Drive shaft/solenoid pin loose; will not stay in gear,Rebuilt clutch,"clutch, shaft, pin, solenoid, gear",,loose,rebuild,drive,
1/7/16,,I19,,,Replace broken feed tube extension,Replaced,tube,,broken,replace,feed,
1/7/16,,H23,,,St#2 spindle siezed,Rebuilt spindle,"station, spindle",,seize,rebuild,,
1/7/16,,H27,,,Continous table index faults,Table adjusting valve adjusted to WIDE OPEN; Adjusted accordingly,"valve, table, index",,fault,adjust,open,
1/7/16,,I18,,,P/O head has broken base jaw,Removed and replaced broken base jaw,"base, head",,broken,"replace, remove",,
1/7/16,,I18,,,Stock stop INOP,Reattached loose wire to PLC unit,"unit, wire, stock, plc",,"inoperable, loose",,stop,
1/7/16,,SC3,,,Machine start button rear side faulting,Replaced contact block,"machine, rear",,fault,replace,"start, block",
1/7/16,,T102,,,Stock reel alignment adjustment requested,Reset; Caused by excessive torque load on motor,"motor, stock",,,"request, adjust, reset","load, excessive",
1/8/16,,H16,,,Replace bearings St#6 reaming,Replaced and installed,"station, bearing",,,"replace, install",,
1/8/16,,H22,,,Brushing unit motor burn smell,Adjusted DOS sensor,"unit, motor, sensor, brush",,,adjust,,
1/8/16,,H4,,,Drill detector St#2 not working,Radial stroke position not allowing proper reading; Adjusted,"station, drill, position, detector, stroke",,,adjust,working,
1/8/16,,H6,,,Accumulator check requested,Checked and charged both accumulators,accumulator,,,"check, request, charge",,
1/8/16,,I18,,,Bad 1st position;  Slide jumped position by .3000,Replaced axis drive after checking all mechanicals,"axis, position, slide",,broken,"replace, check",drive,
1/8/16,,I3,,,Low coolant flow Side A,"Removed turret, cleaned and reinstalled","coolant, turret, flow",,,"remove, install, clean",low,
1/9/16,,H5,,,Rotator INOP; No power,Replaced fuse in power module and electric coil on valve for rotator;  See H5 Jan 4 also,"valve, fuse, module, coil, rotator",,inoperable,replace,power,
1/9/16,,I17,,,Iemca track #4 broken,Replaced,iemca,,broken,replace,track,
1/11/16,,AIM 02,,,Will not pick up parts at Pos #5,Replaced jaws and vertical and horizontal slide stops to align jaws,"part, slide, vertical",,,"replace, align","stop, pick",
1/11/16,,H17,,,St#11 leaking from rear of spindle,Replaced rear seals in spindle,"station, spindle, rear",,leak,replace,"11, seal",
1/11/16,,H22,,,Repeat bar loader faults,Replaced loader flow control valves (2),"valve, loader, flow",,fault,replace,"bar, control",
1/11/16,,H23,,,Hydraulic leak at inverter,Rebuilt inverter,"hydraulic, inverter",,leak,rebuild,,
1/11/16,,H23,,,Adjusting screw on recess draw bar stripped,Removed and replaced adjusting nut,"screw, nut",,strip,"replace, remove, adjust",bar,
1/11/16,,H23,,,Accumulator check requested,fond low and charged,accumulator,,,"check, request, charge",low,
1/11/16,,H24,,,Accumulator variation to 40bar,Found to be flat at 0bar; >Charged to 30bar,accumulator,30bar,,charge,,
1/11/16,,H29,,,ST2 Low Pressure faults,Empty machine and reprogrammed loader,"machine, loader, pressure, st_2",,fault,,low,
1/11/16,,H4,,,No power to machine,Replaced L1 fuse in Bus plug,"machine, fuse",,,replace,"power, plug",
1/11/16,,I1,,,Machine will not boot programming,Cycled power,machine,,,,"power, cycle",
1/11/16,,I19,,,Hydrostatic pressure left by itself; Alarm,Replaced damaged pressure switch S40.0,pressure,,"broken, alarm",replace,"switch, left",
1/11/16,,I2,,,Broken airline to machine,Replaced,machine,air_line,broken,replace,,
1/11/16,,I2,,,Site glass on coolant tank / conveyor leaking,Replaced during monthly cleanout,"coolant, conveyor, tank",,leak,replace,,
1/11/16,,RM223,,,Regulating wheel not spinning,Replaced regulating wheel gear shaft and bushings,"shaft, wheel, gear",,,replace,regulating,
1/11/16,,SC5,,,Control panel keeps reverting to reboot menu,Swapped control panel screen,"panel, screen",,,swap,control,
1/11/16,,TK4,,,Jaws not grabbing part at load; Air leak,Replaced leaking gripper cylinder with used unit,"unit, air, cylinder, gripper",,leak,replace,"load, used",
1/11/16,,Tsch 1,,,E Stop alarm will not clear,Fault in door safety switch corrected,"door, safety",,"fault, alarm","clear, correct","switch, stop",
1/12/16,,H23,,,Hydraulic leak at inverter,Replaced seals in inverter,"hydraulic, inverter",,leak,replace,seal,
1/12/16,,H25,,,Accumulator check requested,LP was at 20bar; Charged to 30bar / HP ok,"accumulator, low_pressure",30bar,,"check, request, charge, ok","hp, 20bar",
1/12/16,,H32,,,Machine will not stay running in AUTO,Replaced loader proximity sensor,"sensor, machine, loader, prox",,,replace,"running, auto",
1/12/16,,I18,,,Work receiving unit movement not finished,Replaced cable to parts receiving sensor / Replaced actuator piston rod due to bad threading connection for parts catcher,"unit, sensor, part, cable, connector, actuator, thread, rod, piston, catcher",,broken,replace,,
1/12/16,,I2,,,Offload conveyor broken,Team effort to replace broken links,"conveyor, offload",,broken,replace,,
1/12/16,,SC10,,,Monitoring spindle drive reset button INOP,Replaced damaged push button ,spindle,,"broken, inoperable","replace, reset","drive, push",
1/12/16,,Tsch 2,,,Coolant low level alarm,Operator told to ADD WATER!,"coolant, operator, water",,alarm,add,"level, low",
1/13/16,,Durr,,,Basket rotate motor overlaod tripping,Basket spilled in wash chamber and jammed in assembly; Steve able to rotate until parts came free.,"motor, part, steve, basket",trip,"jam, overload, trip",,,
1/13/16,,H34,,,Vogel lube faults,Repaired broken fittings and leak at bar loader,"loader, vogel, fitting, lubrication",lubrication,"broken, leak, fault",repair,bar,
1/13/16,,H4,,,Cross drill will not fire,Tighten coil and reset unit,"unit, drill, cross, coil",,,"reset, tighten",,
1/13/16,,I1,,,Turret not locking,Lock OK; Turret need to be synchronized,turret,,,"ok, need","lock, locking",
1/13/16,,I18,,,Chip conveyor INOP,Loose PC board in Index controller,"conveyor, chip, index, controller",,"inoperable, loose",,,
1/13/16,,I19,,,Iemca facing travel flag INOP,Replaced sensor and cable,"sensor, cable, iemca, flag",,inoperable,replace,"travel, facing",
1/13/16,,I3,,,Damaged cable for gripper jaws OPEN sensor,Replaced cable,"sensor, cable, gripper",,broken,replace,open,
1/14/16,,A67,,,Keyway on drive pulley falling out;  Pulley damaged,Retrieved replacement pulley from Induplate and installed,"pulley, replacement",fall,broken,install,"drive, fall",
1/14/16,,H22,,,bar feeder chain broken,Repaired,"chain, feeder",,broken,repair,bar,
